genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,Patterned_Gliding,Patterned,Gliding,0.4883,0.001,0.489,0.001,0.9295,0.0011,4.93E-05,0.0001
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,Patterned_Flapping,Patterned,Flapping,0.334,0.109,0.3346,0.1091,0.3747,0.1825,0.106,0.062
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,Averaged_Gliding,Averaged,Gliding,0.2968,0.0003,0.297,0.0003,0.7597,0.0008,2.14E-05,2.13E-05
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,Averaged_Flapping,Averaged,Flapping,0.203,0.0708,0.2033,0.0709,0.2833,0.15,0.0627,0.0414
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,White_Gliding,White,Gliding,1.0104,0.001,1.0109,0.001,2.5862,0.0027,7.29E-05,7.26E-05
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,White_Flapping,White,Flapping,0.7927,0.1994,0.7937,0.1995,1.0618,0.4869,0.2287,0.148
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,Patterned_Gliding,Patterned,Gliding,0.244,0.0004,0.2445,0.0004,0.4742,0.0006,2.51E-05,4.07E-05
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,Patterned_Flapping,Patterned,Flapping,0.18,0.0579,0.1807,0.058,0.183,0.0903,0.0419,0.0247
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,Averaged_Gliding,Averaged,Gliding,0.0733,6.53E-05,0.0734,6.56E-05,0.1921,0.0002,5.86E-06,6.03E-06
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,Averaged_Flapping,Averaged,Flapping,0.0471,0.0165,0.0472,0.0165,0.0688,0.0386,0.0158,0.0104
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,White_Gliding,White,Gliding,1.0347,0.0009,1.0362,0.0009,2.7126,0.003,8.28E-05,8.51E-05
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,White_Flapping,White,Flapping,0.8012,0.1985,0.8028,0.1986,1.114,0.5109,0.2401,0.1534
Anthocharis,gruneri,Anthocharis_gruneri,Female,Patterned_Gliding,Patterned,Gliding,0.5029,0.001,0.503,0.001,0.8191,0.0013,5.88E-05,5.53E-05
Anthocharis,gruneri,Anthocharis_gruneri,Female,Patterned_Flapping,Patterned,Flapping,0.2795,0.1029,0.2802,0.1029,0.3367,0.1676,0.1134,0.0609
Anthocharis,gruneri,Anthocharis_gruneri,Female,Averaged_Gliding,Averaged,Gliding,0.2139,0.0002,0.214,0.0002,0.5722,0.0007,1.66E-05,1.50E-05
